optimizer,num_layers,learning_rate,epochs,batch_size,use_layerwise_dropout_batchnorm,start_neurons,padding,output_layer_activation,l2_r,l1_r,kernel_size,filters,dropout_rate,decay_sequence,activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
sgd,3,0.1,50,256,True,190,same,sigmoid,0.0001,0.2,52,18,0.3,"[1, 0.5, 0.25]",tanh,373.368988037,0.508968949318,0.542372882366,0.00167434080504,373.36895752,0.512890636921,0.769230782986,0.002668089699
sgd,5,0.001,50,256,True,270,same,sigmoid,0.0001,0.1,62,10,0.3,"[1, 2, 4, 4, 2]",relu,12.9828395844,0.497404396534,0.494562059641,0.983440458775,12.9832162857,0.491276055574,0.489137709141,0.980235099792
sgd,3,0.01,50,64,True,200,same,sigmoid,0.1,0.0001,52,50,0.3,"[1, 2, 4]",softmax,0.69508010149,0.508618056774,0.0,0.0,0.695386350155,0.500256180763,0.0,0.0
sgd,3,0.01,50,64,True,100,same,sigmoid,0.2,0.0001,4,46,0.3,"[1, 1, 1]",tanh,0.706732153893,0.539407730103,0.519082307816,0.863508701324,0.706165492535,0.540087103844,0.522580623627,0.856369256973
sgd,4,0.0001,50,64,True,200,same,sigmoid,0.2,0.01,26,58,0.0,"[1, 4, 8, 8]",tanh,17.24842453,0.496496528387,0.486586302519,0.43872243166,17.2469463348,0.502945721149,0.490230411291,0.440744638443
adam,4,0.01,50,128,False,250,same,sigmoid,0.2,0.001,92,36,0.2,"[1, 0.5, 0.25, 0.25]",sigmoid,4.52519702911,0.508785843849,0.0,0.0,4.5246424675,0.51152664423,0.0,0.0
rmsprop,3,0.0001,50,64,False,210,same,sigmoid,0.01,0.01,62,48,0.1,"[1, 0.5, 0.25]",relu,1.51129603386,0.551554858685,0.525450468063,0.901530146599,1.58226311207,0.541367888451,0.517862558365,0.896253585815
sgd,5,0.01,50,256,True,190,same,sigmoid,0.001,0.0001,24,48,0.1,"[1, 1, 1, 1, 1]",softmax,1.45225024223,0.5087890625,0.0,0.0,1.45224142075,0.514843761921,0.0,0.0
rmsprop,5,0.0001,50,64,True,110,same,sigmoid,0.1,0.2,58,30,0.1,"[1, 0.5, 0.25, 0.25, 0.5]",softmax,18.5057487488,0.508336722851,0.0,0.0,18.506072998,0.498847365379,0.0,0.0
adam,2,0.0001,50,128,False,250,same,sigmoid,0.01,0.3,48,56,0.1,"[1, 4]",softmax,0.772025883198,0.508401632309,0.0,0.0,0.772028386593,0.508324801922,0.0,0.0
sgd,4,0.001,50,64,False,260,same,sigmoid,0.1,0.1,84,18,0.001,"[1, 1, 1, 1]",sigmoid,1.1163713932,0.508336722851,0.0,0.0,1.11672735214,0.49910351634,0.0,0.0
sgd,1,0.0001,50,64,True,290,same,sigmoid,0.001,0.2,92,26,0.01,[1],softmax,0.697930455208,0.491509824991,0.491509824991,1.0,0.697937011719,0.489113748074,0.489113748074,1.0
