optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall,train_f1,val_f1
sgd,3.0,0.01,75,512,True,True,sigmoid,False,True,sigmoid,32,9,relu,softmax,0.01,0.01,50,30,1.18163108826,0.494208246469,0.506419718266,0.2491517663,1.18137443066,0.500655710697,0.5107421875,0.253823131323,0.333986578034,0.339116039241
sgd,3.0,0.01,75,512,True,False,relu,False,True,sigmoid,26,1,sigmoid,linear,0.001,0.001,20,26,0.812014639378,0.50920933485,0.521196186543,0.66576385498,0.814299404621,0.501719534397,0.51261395216,0.654753983021,0.584676097282,0.575030402693
rmsprop,3.0,0.001,100,256,True,False,sigmoid,True,False,sigmoid,32,3,relu,tanh,0.001,0.001,30,32,1.06858420372,0.532353878021,0.537445545197,0.476164072752,1.07747614384,0.528642475605,0.53572589159,0.477061182261,0.504952311327,0.50469448872
rmsprop,3.0,0.001,75,256,True,True,sigmoid,False,True,sigmoid,26,9,linear,tanh,0.01,0.1,50,30,39.9698867798,0.494740784168,0.49862319231,0.987513840199,39.9712867737,0.492217242718,0.4951171875,0.988198161125,0.662653971578,0.659703136872
adam,3.0,0.001,75,1024,True,True,relu,False,True,sigmoid,34,12,sigmoid,softmax,0.1,0.01,50,42,2.91429591179,0.619409263134,0.513912022114,0.0239509232342,2.9211397171,0.46798029542,0.50935870409,0.0157912243158,0.0457687873732,0.0306327664479
sgd,3.0,0.001,75,128,True,True,softmax,False,True,sigmoid,28,15,linear,tanh,0.01,0.0001,30,26,5.59379911423,0.5,0.509170472622,3.25499640894e-05,5.59382724762,0.0,0.509664952755,0.0,6.50957667732e-05,0.0
rmsprop,3.0,0.001,75,256,True,True,softmax,True,True,sigmoid,30,6,linear,linear,0.01,0.0001,50,28,0.772478222847,0.0,0.509141266346,0.0,0.772403299809,0.0,0.510416686535,0.0,0.0,0.0
sgd,3.0,0.01,100,512,True,True,sigmoid,True,True,sigmoid,30,18,sigmoid,tanh,0.1,0.01,40,32,1.81603395939,0.0,0.509429454803,0.0,1.8159815073,0.0,0.510416686535,0.0,0.0,0.0
adam,3.0,0.1,100,1024,True,True,relu,True,True,sigmoid,44,18,softmax,tanh,0.001,0.01,50,26,344.724304199,0.0,0.509237349033,0.0,344.724090576,0.0,0.510416686535,0.0,0.0,0.0
adam,3.0,0.01,100,1536,True,True,softmax,True,False,sigmoid,42,15,softmax,relu,0.01,0.001,30,38,2.13452315331,0.0,0.509716808796,0.0,2.13457226753,0.0,0.510416686535,0.0,0.0,0.0
